Date,Plant,Soil,Plant2,Treat,instrument,stomata,intercept,slope,slopeGlobal,predIndvDay,predGlobal,nday,VpdMor,Dmol,E,pd_wp,md_wp,delta,KL
180613,164,C,C164,DRY,Porometer ECOFUN1,96.7,0,0.898600481,1.02589397,96.7,96.7,29,0.796683535,0.007864596,0.760506396,-1.218,-1.692,0.474,1.604443873
180613,167,C,C167,DRY,Porometer ECOFUN1,102.6,0,0.898600481,1.02589397,102.6,102.6,29,0.796683535,0.007864596,0.80690751,-1.216,-1.658,0.442,1.825582601
180613,168,C,C168,DRY,Porometer ECOFUN1,65.9,0,0.898600481,1.02589397,65.9,65.9,29,0.796683535,0.007864596,0.518276851,-2.5,-3.519,1.019,0.5086132
180613,182,C,C182,DRY,Porometer ECOFUN1,96.1,0,0.898600481,1.02589397,96.1,96.1,29,0.796683535,0.007864596,0.755787638,-1.075,-1.513,0.438,1.725542553
180613,206,C,C206,DRY,Porometer ECOFUN1,98.8,0,0.898600481,1.02589397,98.8,98.8,29,0.796683535,0.007864596,0.777022046,-2.109,-2.433,0.324,2.398216193
180620,12,A,A12,DRY,Porometer ECOFUN1,62.5,0,1,1.02589397,62.5,62.5,36,1.295035208,0.012784158,0.799009877,-1.807,-2.423,0.616,1.297093956
180620,15,A,A15,DRY,Porometer ECOFUN1,56.3,0,1,1.02589397,56.3,56.3,36,1.295035208,0.012784158,0.719748097,-1.504,-2.531,1.027,0.700825801
180620,21,A,A21,DRY,Porometer ECOFUN1,34.7,0,1,1.02589397,34.7,34.7,36,1.295035208,0.012784158,0.443610284,-1.89,-2.459,0.569,0.77963143
180620,89,A,A89,DRY,Porometer ECOFUN1,22.6,0,1,1.02589397,22.6,22.6,36,1.295035208,0.012784158,0.288921971,-2.644,-2.854,0.21,1.375818912
180620,9,A,A9,DRY,Porometer ECOFUN1,27.5,0,1,1.02589397,27.5,27.5,36,1.295035208,0.012784158,0.351564346,-4.383,-5.342,0.959,0.36659473
180620,115,B,B115,DRY,Porometer ECOFUN1,85.9,0,1,1.02589397,85.9,85.9,36,1.295035208,0.012784158,1.098159175,-1.789,-2.981,1.192,0.921274476
180620,123,B,B123,DRY,Porometer ECOFUN1,67.6,0,1,1.02589397,67.6,67.6,36,1.295035208,0.012784158,0.864209083,-1.816,-2.519,0.703,1.229315907
180620,143,B,B143,DRY,Porometer ECOFUN1,57.5,0,1,1.02589397,57.5,57.5,36,1.295035208,0.012784158,0.735089087,-2.773,-2.76,-0.013,-56.54531437
180620,150,B,B150,DRY,Porometer ECOFUN1,52.55,0,1,1.02589397,52.55,52.55,36,1.295035208,0.012784158,0.671807505,-2.372,-2.662,0.29,2.316577602
180620,188,C,C188,DRY,Porometer ECOFUN1,31.8,0,1,1.02589397,31.8,31.8,36,1.295035208,0.012784158,0.406536225,-3.987,-4.075,0.088,4.619729834
180620,189,C,C189,DRY,Porometer ECOFUN1,27.1,0,1,1.02589397,27.1,27.1,36,1.295035208,0.012784158,0.346450683,-4.32,-4.277,-0.043,-8.056992619
180620,208,C,C208,DRY,Porometer ECOFUN1,77.5,0,1,1.02589397,77.5,77.5,36,1.295035208,0.012784158,0.990772247,NA,NA,NA,NA
180620,212,C,C212,DRY,Porometer ECOFUN1,39,0,1,1.02589397,39,39,36,1.295035208,0.012784158,0.498582163,-2.512,-2.856,0.344,1.449366753
180620,216,C,C216,DRY,Porometer ECOFUN1,53.15,0,1,1.02589397,53.15,53.15,36,1.295035208,0.012784158,0.679477999,NA,NA,NA,NA
