"Plant","Soil","Treat","Date","weight_g","dryWeight","plant_weight","pot_plus_plate_weight","bulkDen","totalLeafArea_cm2","GWC","VWC","nday"
46,"A","DRY",2018-06-13,2809.9,2535.9,25.4,78.5,1.26352533440173,321.00095,6.70767774754527,8.4753207690262,29
46,"A","DRY",2018-06-20,2774.5,2535.9,25.4,78.5,1.26352533440173,321.00095,5.31172364840886,6.7114973991054,36
46,"A","DRY",2018-05-22,3269.8,2535.9,25.4,78.5,1.26352533440173,321.00095,24.8432509168343,31.3900769223192,7
46,"A","DRY",2018-05-31,3024.1,2535.9,25.4,78.5,1.26352533440173,321.00095,15.1543830592689,19.1479469226147,16
46,"A","DRY",2018-05-24,3212.3,2535.9,25.4,78.5,1.26352533440173,321.00095,22.575811349028,28.525109584171,9
46,"A","DRY",2018-05-18,3472.8,2535.9,25.4,78.5,1.26352533440173,321.00095,32.8482984344809,41.5046572639554,3
46,"A","DRY",2018-06-07,2861.4,2535.9,25.4,78.5,1.26352533440173,321.00095,8.73851492566743,11.0413349936285,23
46,"A","DRY",2018-05-16,3554.6,2535.9,25.4,78.5,1.26352533440173,321.00095,36.0739776805079,45.5803847119644,1
47,"A","CONTROL",2018-06-13,3762.3,2622.9633187604,67.5,101.8,1.2326792381675,NA,36.9824722405206,45.5875257069956,29
47,"A","CONTROL",2018-05-16,3784.1,2622.9633187604,67.5,101.8,1.2326792381675,NA,37.8135932799983,46.612031356764,1
47,"A","CONTROL",2018-05-18,3740.6,2622.9633187604,67.5,101.8,1.2326792381675,NA,36.1551636828754,44.5677196244281,3
47,"A","CONTROL",2018-05-24,3678.6,2622.9633187604,67.5,101.8,1.2326792381675,NA,33.7914249467462,41.6539879599493,9
47,"A","CONTROL",2018-06-07,3695.4,2622.9633187604,67.5,101.8,1.2326792381675,NA,34.4319218946005,42.443515249679,23
47,"A","CONTROL",2018-05-22,3771.3,2622.9633187604,67.5,101.8,1.2326792381675,NA,37.3255956054426,46.0104867550652,7
47,"A","CONTROL",2018-05-31,3775.4,2622.9633187604,67.5,101.8,1.2326792381675,NA,37.4819073605737,46.2031690102968,16
47,"A","CONTROL",2018-06-20,3615,2622.9633187604,67.5,101.8,1.2326792381675,NA,31.3666865012975,38.6650632202582,36
64,"A","DRY",2018-05-16,4374.9,3084.1,26,80.3,1.36104953438542,324.966464,38.4066664505042,52.273375489755,1
64,"A","DRY",2018-05-31,3785,3084.1,26,80.3,1.36104953438542,324.966464,19.2795304951201,26.2403960035529,16
64,"A","DRY",2018-06-13,3456.2,3084.1,26,80.3,1.36104953438542,324.966464,8.61839758762685,11.730066023788,29
64,"A","DRY",2018-05-22,4048,3084.1,26,80.3,1.36104953438542,324.966464,27.8071398463085,37.8468947404086,7
64,"A","DRY",2018-05-24,3984.3,3084.1,26,80.3,1.36104953438542,324.966464,25.7417074673325,35.0357389626987,9
64,"A","DRY",2018-05-18,4267.3,3084.1,26,80.3,1.36104953438542,324.966464,34.917804221653,47.5248611776422,3
64,"A","DRY",2018-06-20,3384,3084.1,26,80.3,1.36104953438542,324.966464,6.27735806231964,8.54379526789073,36
64,"A","DRY",2018-06-07,3571.9,3084.1,26,80.3,1.36104953438542,324.966464,12.3698972147466,16.8360428445264,23
67,"A","DRY",2018-06-13,3011.9,2667.2,30,84.9,1.24840404434031,424.643277,8.61577684463108,10.755970657971,29
67,"A","DRY",2018-05-31,3290.4,2667.2,30,84.9,1.24840404434031,424.643277,19.0574385122975,23.791383313519,16
67,"A","DRY",2018-05-16,3786.6,2667.2,30,84.9,1.24840404434031,424.643277,37.6612177564487,47.0164165619316,1
67,"A","DRY",2018-06-07,3108.1,2667.2,30,84.9,1.24840404434031,424.643277,12.2225554889022,15.2586877045194,23
67,"A","DRY",2018-05-24,3448.2,2667.2,30,84.9,1.24840404434031,424.643277,24.9737552489502,31.1773370551544,9
67,"A","DRY",2018-05-22,3509.6,2667.2,30,84.9,1.24840404434031,424.643277,27.2757948410318,34.0512125921406,7
67,"A","DRY",2018-06-20,2999,2667.2,30,84.9,1.24840404434031,424.643277,8.13212357528495,10.1521759604609,36
67,"A","DRY",2018-05-18,3701.3,2667.2,30,84.9,1.24840404434031,424.643277,34.4631073785243,43.0238826318841,3
76,"A","DRY",2018-06-13,2962.3,2679.1,38.5,81.2,1.29316061882944,485.246169,6.10279571497893,7.89189508337179,29
76,"A","DRY",2018-05-16,3790.6,2679.1,38.5,81.2,1.29316061882944,485.246169,37.0198947407712,47.8726699919763,1
76,"A","DRY",2018-05-18,3721.9,2679.1,38.5,81.2,1.29316061882944,485.246169,34.4556007614498,44.5566260028164,3
76,"A","DRY",2018-05-24,3466.2,2679.1,38.5,81.2,1.29316061882944,485.246169,24.9113508267702,32.2143778510233,9
76,"A","DRY",2018-05-31,3265,2679.1,38.5,81.2,1.29316061882944,485.246169,17.4013661304169,22.5027613936876,16
76,"A","DRY",2018-06-20,2915.9,2679.1,38.5,81.2,1.29316061882944,485.246169,4.37087081482589,5.65223800772377,36
76,"A","DRY",2018-05-22,3526.4,2679.1,38.5,81.2,1.29316061882944,485.246169,27.1583740808481,35.1201398327908,7
76,"A","DRY",2018-06-07,3044.1,2679.1,38.5,81.2,1.29316061882944,485.246169,9.15605987085216,11.8402560486306,23
81,"A","CONTROL",2018-05-16,3867.6,2717.53919381229,51.9,117.3,1.27712580620532,NA,36.093713327892,46.0962127328277,1
81,"A","CONTROL",2018-05-22,3876,2717.53919381229,51.9,117.3,1.27712580620532,NA,36.4028165054699,46.4909763776926,7
81,"A","CONTROL",2018-06-07,4007,2717.53919381229,51.9,117.3,1.27712580620532,NA,41.2233541557927,52.6474094107042,23
81,"A","CONTROL",2018-06-13,3925.9,2717.53919381229,51.9,117.3,1.27712580620532,NA,38.2390365722723,48.8360604108779,29
81,"A","CONTROL",2018-05-18,3821.1,2717.53919381229,51.9,117.3,1.27712580620532,NA,34.382606452014,43.9109139844686,3
81,"A","CONTROL",2018-05-24,3812.7,2717.53919381229,51.9,117.3,1.27712580620532,NA,34.0735032744361,43.5161503396037,9
81,"A","CONTROL",2018-05-31,4050.1,2717.53919381229,51.9,117.3,1.27712580620532,NA,42.8093478407463,54.672922874237,16
81,"A","CONTROL",2018-06-20,3824,2717.53919381229,51.9,117.3,1.27712580620532,NA,34.4893206442731,44.047201433291,36
86,"A","CONTROL",2018-05-22,4100.3,3039.26377418711,54.6,105,1.42832243476649,NA,29.6596903983428,42.3636012041814,7
86,"A","CONTROL",2018-05-31,4161.7,3039.26377418711,54.6,105,1.42832243476649,NA,31.6799164978831,45.2491354654555,16
86,"A","CONTROL",2018-05-24,4031.3,3039.26377418711,54.6,105,1.42832243476649,NA,27.3894037392504,39.1208998356486,9
86,"A","CONTROL",2018-05-16,4076.1,3039.26377418711,54.6,105,1.42832243476649,NA,28.8634449324002,41.2263059415945,1
86,"A","CONTROL",2018-05-18,4027,3039.26377418711,54.6,105,1.42832243476649,NA,27.2479221068721,38.9188184460153,3
86,"A","CONTROL",2018-06-07,4128.5,3039.26377418711,54.6,105,1.42832243476649,NA,30.5875466851024,43.6888791547991,23
86,"A","CONTROL",2018-06-13,4140.3,3039.26377418711,54.6,105,1.42832243476649,NA,30.9757986065124,44.2434280844903,29
91,"A","CONTROL",2018-05-18,3967.5,2886.52175262405,99.6,118.6,1.35654029529475,NA,29.8898924489871,40.5468435290773,3
91,"A","CONTROL",2018-05-24,3951.3,2886.52175262405,99.6,118.6,1.35654029529475,NA,29.3286633508425,39.7855136425522,9
91,"A","CONTROL",2018-05-31,3979.7,2886.52175262405,99.6,118.6,1.35654029529475,NA,30.3125464611701,41.1201907275715,16
91,"A","CONTROL",2018-06-13,4034.3,2886.52175262405,99.6,118.6,1.35654029529475,NA,32.2040963845464,43.6861544191932,29
91,"A","CONTROL",2018-06-20,3933.4,2886.52175262405,99.6,118.6,1.35654029529475,NA,28.7085398411642,38.944291113614,36
91,"A","CONTROL",2018-05-22,4090,2886.52175262405,99.6,118.6,1.35654029529475,NA,34.1337544565621,46.3038133500233,7
91,"A","CONTROL",2018-06-07,4067.5,2886.52175262405,99.6,118.6,1.35654029529475,NA,33.3542695980279,45.2464107298496,23
91,"A","CONTROL",2018-05-16,4014.2,2886.52175262405,99.6,118.6,1.35654029529475,NA,31.5077565775891,42.741541411838,1
100,"A","DRY",2018-05-24,3994,3169.3,41.6,81.9,1.32304662998159,446.231182,22.1247594105954,29.2720883773418,9
100,"A","DRY",2018-05-31,3791.3,3169.3,41.6,81.9,1.32304662998159,446.231182,15.7290253368252,20.8102339647816,16
100,"A","DRY",2018-06-13,3548,3169.3,41.6,81.9,1.32304662998159,446.231182,8.05225128577289,10.6535039274068,29
100,"A","DRY",2018-05-16,4497.3,3169.3,41.6,81.9,1.32304662998159,446.231182,38.0052377496608,50.2827017263379,1
100,"A","DRY",2018-05-18,4392.4,3169.3,41.6,81.9,1.32304662998159,446.231182,34.6953585965355,45.9035772671492,3
100,"A","DRY",2018-06-07,3622.1,3169.3,41.6,81.9,1.32304662998159,446.231182,10.3903070078566,13.7468606712188,23
100,"A","DRY",2018-05-22,4071.5,3169.3,41.6,81.9,1.32304662998159,446.231182,24.5700943425993,32.5073805183058,7
100,"A","DRY",2018-06-20,3497.9,3169.3,41.6,81.9,1.32304662998159,446.231182,6.47146057489037,8.56204410466744,36
102,"B","CONTROL",2018-06-07,4231.1,3163.71779139147,36.9,136.2,1.48681043649228,NA,28.2668135268541,42.027393358108,23
102,"B","CONTROL",2018-05-16,4270.6,3163.71779139147,36.9,136.2,1.48681043649228,NA,29.5153446097301,43.883722402413,1
102,"B","CONTROL",2018-05-22,4260,3163.71779139147,36.9,136.2,1.48681043649228,NA,29.1802957621735,43.3855682791311,7
102,"B","CONTROL",2018-05-24,4200.7,3163.71779139147,36.9,136.2,1.48681043649228,NA,27.3059187187672,40.5987249290732,9
