notes,Date,Soil,Treat,Plant,experiment,round,HHMMSS,Photo,Cond,Ci,Trmmol,VpdL,Tair,Tleaf,TBlk,CO2R,CO2S,H2OR,H2OS,RH_R,RH_S,Flow,PARi,PARo,Press
low light,20180607,B,control,137,vpdCur,R0,09:09:03,8.461666667,0.041516667,65.31666667,0.243666667,0.588333333,22.17833333,22.06833333,21.94,409.1516667,398.88,20.2035,20.48933333,76.31166667,77.39166667,499.9,550.5,58.33333333,101.3
nothing,20180607,B,drought,135,vpdCur,R1,09:35:23,2.08,0.00353,-534,0.015,0.419,22.24,22.76,21.96,409.37,406.87,23.272,23.289,87.61,87.68,499.9,1199,42,101.3
nothing,20180607,B,drought,111,vpdCur,R1,09:41:12,1.173666667,0.0261,329.8333333,0.278833333,1.066666667,22.49833333,23.39333333,21.93666667,410.2866667,408.74,17.64266667,17.97083333,65.36333333,66.58,499.9,1201.166667,22.33333333,101.3
nothing,20180607,B,control,137,vpdCur,R1,09:49:42,6.993333333,0.065066667,219.3333333,0.716833333,1.113333333,22.48166667,23.83,21.94,409.1866667,400.445,17.40766667,18.25233333,64.56166667,67.69666667,499.9,1200.833333,29,101.3
nothing,20180607,B,drought,129,vpdCur,R1,09:57:15,8.035,0.087383333,241.8333333,0.983333333,1.146666667,22.60166667,24.17833333,21.93833333,409.48,399.365,17.387,18.54533333,64.00833333,68.27333333,499.9,1200.166667,52.5,101.3
nothing,20180607,B,drought,135,vpdCur,R1b,10:05:06,1.942,0.009936,45.74,0.10716,1.068,22.772,23.826,21.94,409.858,407.476,18.572,18.6984,67.674,68.134,499.9,1200,70.4,101.3
nothing,20180607,B,control,110,vpdCur,R1,10:09:45,7.3175,0.10525,282,0.96625,0.9405,22.9775,24.1075,21.9325,411.295,402.045,19.3285,20.465,69.5675,73.6575,499.9,1201.25,55.5,101.3
nothing,20180607,B,control,116,vpdCur,R1,10:15:38,10.44333333,0.173666667,290.3333333,1.783333333,1.076666667,23.21333333,24.82,21.93666667,410.8666667,397.5,18.29566667,20.397,64.91666667,72.37666667,499.9,1200,224.3333333,101.3
nothing,20180607,B,drought,111,vpdCur,R2,10:23:27,0.296666667,0.009566667,347.7777778,0.162444444,1.684444444,24.93777778,26.60111111,24.07777778,409.2355556,408.8022222,17.69377778,17.885,56.59111111,57.20333333,499.8777778,1199.888889,220.6666667,101.3
nothing,20180607,B,control,137,vpdCur,R2,10:28:30,5.376666667,0.03885,171.5,0.598166667,1.541666667,24.97166667,26.06,24.08,409.6183333,402.8733333,17.5,18.20516667,55.865,58.11666667,499.9,1200.5,222,101.3
