Soil,Plant2,Plant,Treat,Date,time,instrument,stomata
A,A15,15,drought,20180620,mid-morning,Porometer ECOFUN1,56.3
A,A81,81,control,20180620,mid-morning,Porometer ECOFUN1,229.3
B,B123,123,drought,20180620,mid-morning,Porometer ECOFUN1,67.6
A,A7,7,control,20180620,mid-morning,Porometer ECOFUN1,164.9
C,C162,162,control,20180620,mid-morning,Porometer ECOFUN1,338.8
A,A12,12,control,20180620,mid-morning,Porometer ECOFUN1,62.3
C,C203,203,control,20180620,mid-morning,Porometer ECOFUN1,351.1
C,C200,200,control,20180620,mid-morning,Porometer ECOFUN1,344.8
A,A47,47,control,20180620,mid-morning,Porometer ECOFUN1,362.4
A,A91,91,control,20180620,mid-morning,Porometer ECOFUN1,361.3
B,B150,150,drought,20180620,mid-morning,Porometer ECOFUN1,50.2
