Plant,Date,Soil,Treat,pd_wp,notes_pd_wp,md_wp,notes_md_wp
45,20180607,A,DRY,-0.557,nothing,NA,NA
45,20180613,A,DRY,-1.273,nothing,-2.037,nothing
47,20180620,A,CONTROL,-0.543,nothing,-2.264,measurements from 12.30 to 14.30
48,20180522,A,CONTROL,-0.347,nothing,NA,NA
48,20180524,A,CONTROL,-0.606,nothing,-1.58,some leaves were kept in a sealed bag in the sun for a bit too long!
50,20180517,A,DRY,-0.441,nothing,-1.86,nothing
54,20180522,A,BAG,-0.364,nothing,NA,NA
57,20180620,A,50mL,-0.571,nothing,-2.061,measurements from 12.30 to 14.30
63,20180528,A,BAG,-0.376,nothing,NA,NA
65,20180528,A,BAG,-0.505,nothing,NA,NA
69,20180528,A,BAG,-0.287,nothing,NA,NA
69,20180620,A,50mL,-1.693,nothing,-2.258,measurements from 12.30 to 14.30
71,20180517,A,BAG,-0.348,nothing,-1.07,nothing
74,20180524,A,BAG,-0.186,nothing,-1.6,some leaves were kept in a sealed bag in the sun for a bit too long!
75,20180517,A,BAG,-0.9,nothing,-1.62,nothing
79,20180528,A,BAG,-0.209,nothing,NA,NA
80,20180607,A,CONTROL,-0.862,nothing,NA,NA
80,20180613,A,CONTROL,-0.739,nothing,-1.422,nothing
81,20180620,A,CONTROL,-0.849,nothing,-1.682,measurements from 12.30 to 14.30
82,20180522,A,BAG,-0.416,nothing,NA,NA
82,20180524,A,BAG,-0.722,nothing,-1.548,some leaves were kept in a sealed bag in the sun for a bit too long!
83,20180522,A,BAG,-0.407,nothing,NA,NA
84,20180522,A,CONTROL,-1.467,nothing,NA,NA
84,20180524,A,BAG,-1.206,nothing,-2.205,some leaves were kept in a sealed bag in the sun for a bit too long!
85,20180517,A,BAG,-0.355,nothing,-1.67,nothing
86,20180607,A,CONTROL,-0.98,nothing,NA,NA
86,20180613,A,CONTROL,-0.508,nothing,-1.806,nothing
87,20180524,A,BAG,-0.631,nothing,-1.792,some leaves were kept in a sealed bag in the sun for a bit too long!
89,20180620,A,DRY,-2.644,nothing,-2.854,measurements from 12.30 to 14.30
90,20180517,A,BAG,-0.439,nothing,-0.56,nothing
91,20180620,A,CONTROL,-0.518,nothing,-1.445,measurements from 12.30 to 14.30
92,20180522,A,BAG,-0.338,nothing,NA,NA
93,20180517,A,BAG,-0.48,nothing,-1.29,nothing
94,20180524,A,BAG,-0.847,nothing,-1.886,some leaves were kept in a sealed bag in the sun for a bit too long!
95,20180522,A,CONTROL,-0.217,nothing,NA,NA
95,20180524,A,CONTROL,-0.58,nothing,-1.808,some leaves were kept in a sealed bag in the sun for a bit too long!
98,20180528,A,BAG,-0.796,nothing,NA,NA
102,20180620,B,CONTROL,-0.579,nothing,-1.953,measurements from 12.30 to 14.30
103,20180528,B,DRY,-0.405,nothing,NA,NA
103,20180531,B,DRY,-0.632,nothing,-1.855,nothing
104,20180517,B,DRY,-0.278,nothing,-0.981,nothing
106,20180528,B,DRY,-0.64,nothing,NA,NA
106,20180531,B,DRY,-0.901,nothing,-1.529,nothing
