Code_orig,Treat,Soil,Code,Plant,Type,Date,Time,delta_D_various,delta_O18_various,Comments
DRY_B133_SOIL_180517,DRY,B,B133,133,Soil,180517,1,-35.92070767,-5.424362755,
DRY_B136_ROCK_180517,DRY,B,B136,136,Rock,180517,1,-34.07700631,-5.743611675,
DRY_B136_R_180517,DRY,B,B136,136,Root,180517,1,-43.8422994,-5.115296801,
DRY_B136_SOIL_180517,DRY,B,B136,136,Soil,180517,1,-33.36056399,-5.020482997,
DRY_C139_S_180517,DRY,B,B136,136,Stem,180517,1,-40.84722562,-4.22161135,
DRY_B139_ROCK_180517,DRY,B,B139,139,Rock,180517,1,-31.86504505,-4.846263248,
DRY_B139_R_180517,DRY,B,B139,139,Root,180517,1,-43.93389479,-5.363886026,
DRY_B139_SOIL_180517,DRY,B,B139,139,Soil,180517,1,-35.15914088,-5.227945973,
DRY_C139_S_180517,DRY,B,B139,139,Stem,180517,1,-37.1418246,-4.597658975,
DRY_C171_R_180517,DRY,C,C171,171,Root,180517,1,-38.46734843,-4.643392122,
DRY_C171_S_180517,DRY,C,C171,171,Stem,180517,1,-39.77082597,-3.88812074,
DRY_C171_SOIL_180517,DRY,C,C171,171,Soil,180517,1,-31.14715469,-4.611266092,
DRY_C175_R_180517,DRY,C,C175,175,Root,180517,1,-48.8924527,-6.007414986,
DRY_C175_S_180517,DRY,C,C175,175,Stem,180517,1,-38.51500274,-4.626110165,
DRY_C175_SOIL_180517,DRY,C,C175,175,Soil,180517,1,-33.09390771,-4.89011995,
DRY_C179_R_180517,DRY,C,C179,179,Root,180517,1,-36.69407078,-4.321493031,
DRY_C179_S_180517,DRY,C,C179,179,Stem,180517,1,-41.10682462,-3.960984531,
DRY_C179_SOIL_180517,DRY,C,C179,179,Soil,180517,1,-32.10273522,-4.682361388,
DRY_C193_R_180517,DRY,C,C193,193,Root,180517,1,-40.77932271,-5.128473799,
DRY_C193_SOIL_180517,DRY,C,C193,193,Soil,180517,1,-32.57833474,-4.794585609,
DRY_C195_R_180517,DRY,C,C199,199,Root,180517,1,-43.27252209,-6.540849721,
DRY_C199_S_180517,DRY,C,C199,199,Stem,180517,1,-40.7800775,-4.529444751,
DRY_C199_SOIL_180517,DRY,C,C199,199,Soil,180517,1,-35.24006551,-5.229318602,
IRRI_W_180517,,,,,IRRIGATIONW,180517,1,-35.53416892,-5.927512906,
DRY_A13_R_180524,DRY,A,A13,13,Root,180524,8,-36.52156859,-5.18852504,
DRY_A13_SOIL_180524,DRY,A,A13,13,Soil,180524,8,-38.70951816,-5.307953032,
DRY_A13_S_180524,DRY,A,A13,13,Stem,180524,8,-42.24964768,-4.520098236,
DRY_A19_R_180524,DRY,A,A19,19,Root,180524,8,-40.08248641,-5.319876658,
DRY_A19_S_180524,DRY,A,A19,19,Stem,180524,8,-38.04763665,-4.23228229,
DRY_A19_SOIL_180524,DRY,A,A19,19,Soil,180524,8,-34.64478695,-5.442420787,
DRY_A22_R_180524,DRY,A,A22,22,Root,180524,8,-33.86539745,-2.792267469,
DRY_A22_SOIL_180524,DRY,A,A22,22,Soil,180524,8,-30.38159625,-3.494882453,
DRY_A22_S_180524,DRY,A,A22,22,Stem,180524,8,-40.61446099,-4.622993579,
CONTROL_A21_S_180524,CONTROL,A,A24,24,Stem,180524,8,-39.92234367,-4.601878273,
CONTROL_A24_R_180524,CONTROL,A,A24,24,Root,180524,8,-38.99412909,-5.066110716,
CONTROL_A24_SOIL_180524,CONTROL,A,A24,24,Soil,180524,8,-28.72084613,-4.116373647,
DRY_A37_R_180524,DRY,A,A37,37,Root,180524,8,-36.24055745,-4.584935543,
DRY_A37_S_180524,DRY,A,A37,37,Stem,180524,8,-41.05827777,-4.40576128,
DRY_A42_R_180524,DRY,A,A42,42,Root,180524,8,-44.69005364,-6.378406642,
DRY_A42_SOIL_180524,DRY,A,A42,42,Soil,180524,8,-26.5105097,-3.72366461,
DRY_A49_S_180606,DRY,A,A42,42,Stem,180524,8,-38.29421902,-4.586446772,
CONTROL_A48_R_180524,CONTROL,A,A48,48,Root,180524,8,-30.78631944,-3.640517284,
CONTROL_A48_S_180524,CONTROL,A,A48,48,Stem,180524,8,-36.00932633,-3.735769879,
CONTROL_A48_SOIL_180524,CONTROL,A,A48,48,Soil,180524,8,-32.97290915,-4.572151755,
BAG_A74_SOIL_180524,BAG,A,A74,74,Soil,180524,8,-35.08747469,-4.790725731,
BAG_A74_S_180524,BAG,A,A74,74,Stem,180524,8,-32.80786344,-3.215331494,
DRY_A74_R_180524,BAG,A,A74,74,Root,180524,8,-37.72414205,-4.29258465,
BAG_A82_R_180524,BAG,A,A82,82,Root,180524,8,-32.41922555,-2.815153815,
BAG_A82_S_180524,BAG,A,A82,82,Stem,180524,8,-33.08264212,-3.386586397,
BAG_A82_SOIL_180524,BAG,A,A82,82,Soil,180524,8,-26.34081361,-2.210040018,
BAG_A84_R_180524,BAG,A,A84,84,Root,180524,8,-35.90460784,-4.698356265,
BAG_A84_S_180524,BAG,A,A84,84,Stem,180524,8,-35.92725439,-3.973468077,
BAG_A84_SOIL_180524,BAG,A,A84,84,Soil,180524,8,-26.13875564,-2.651067072,
BAG_A17_SOIL_180524,BAG,A,A87,87,Soil,180524,8,-32.83435992,-3.730206008,
BAG_A87_R_180524,BAG,A,A87,87,Root,180524,8,-41.01467559,-4.382588893,
BAG_A87_S_180524,BAG,A,A87,87,Stem,180524,8,-36.89042134,-3.518937401,
BAG_A94_R_180524,BAG,A,A94,94,Root,180524,8,-39.21004877,-4.770549008,
BAG_A94_S_180524,BAG,A,A94,94,Stem,180524,8,-32.51413576,-3.154884013,
