soilType,plantID,Date_yyyymmdd,height_cm,diam_mm
A,22,20180509,32,8.68
C,210,20180509,27.5,5.14
A,44,20180509,48.5,6.84
A,83,20180509,46,7.51
B,103,20180509,36,8.73
C,198,20180509,42.5,3.95
A,61,20180509,45.5,7.06
B,150,20180509,33,7.53
C,209,20180509,41,5.22
A,11,20180509,33,8.95
A,87,20180509,46,10.23
A,10,20180509,35.5,4.76
C,192,20180509,31.5,6
B,125,20180509,40.5,6.12
C,206,20180509,38,6.48
A,42,20180509,41.5,6.21
A,90,20180509,41,9.47
B,145,20180509,33.5,5.64
C,166,20180509,51,7.99
B,136,20180509,34,5.56
A,55,20180509,31,6.96
A,5,20180509,29,3.26
A,98,20180509,42,7.25
B,159,20180509,39,10.24
C,181,20180509,36.5,7.03
A,28,20180509,48.5,7.23
C,217,20180509,37,5.81
B,105,20180509,42,10.02
A,68,20180509,31.5,9.23
A,29,20180509,42,6.62
A,97,20180509,26,4.29
B,118,20180509,21,5.06
C,216,20180509,40,6.67
A,20,20180509,36,8.77
A,100,20180509,49,9.25
A,50,20180509,31,8.39
C,187,20180509,51,8.09
B,110,20180509,36,4.4
C,174,20180509,45,10.37
A,1,20180509,35,6.99
A,79,20180509,29,6.03
B,141,20180509,38.5,4.71
C,184,20180509,39,4.24
B,153,20180509,41,6.7
A,62,20180509,38.5,4.62
A,48,20180509,37,6.05
B,143,20180509,37,6.89
C,163,20180509,42.5,8.78
A,30,20180509,34,7.16
A,64,20180509,32.5,9.39
B,142,20180509,38,7.3
A,85,20180509,43,8.82
A,36,20180509,35.5,6.44
C,220,20180509,50,8.13
A,49,20180509,47,9.4
A,54,20180509,50,10.6
B,113,20180509,29,4.2
C,203,20180509,42.5,6.28
A,7,20180509,27,6.19
C,213,20180509,32,9.13
B,132,20180509,32,7.66
A,89,20180509,45.5,8.58
B,121,20180509,36.5,5.59
C,188,20180509,50.5,6.84
A,23,20180509,37,9.14
A,70,20180509,35,7.17
B,114,20180509,28.5,6.36
A,72,20180509,42.5,8.24
A,39,20180509,36.5,8.52
C,218,20180509,29,5.39
B,148,20180509,35.5,6.39
C,199,20180509,40,9.36
A,12,20180509,37.5,6.91
A,81,20180509,31,5.61
B,127,20180509,31.5,5.07
A,94,20180509,26.5,3.77
A,19,20180509,38,6.11
C,164,20180509,37,6.22
A,80,20180509,30,7.94
B,144,20180509,52,8.45
C,197,20180509,47,7.22
B,123,20180509,29.5,3.97
C,162,20180509,38.5,6.69
A,34,20180509,37,8.21
C,215,20180509,32,4.46
B,147,20180509,40,6.93
C,214,20180509,33.5,4.44
A,69,20180509,32,6.38
B,130,20180509,41,7.32
B,NA,20180509,27,4.51
C,173,20180509,33.5,4.95
B,106,20180509,37,7.99
A,57,20180509,37,7.51
A,13,20180509,35,6.79
A,17,20180509,39.5,8.43
A,60,20180509,50,7.15
B,108,20180509,33,8.92
