Plant,Date,Soil,Treat,pd_wp,notes_pd_wp,md_wp,notes_md_wp
112,180620,B,CONTROL,-0.477,nothing,-1.629,measurements from 12.30 to 14.30
114,180620,B,CONTROL,-0.514,nothing,-1.53,measurements from 12.30 to 14.30
116,180620,B,CONTROL,-0.276,nothing,-1.631,measurements from 12.30 to 14.30
162,180620,C,CONTROL,-0.242,nothing,-2.039,measurements from 12.30 to 14.30
195,180620,C,CONTROL,-0.901,nothing,-2.054,measurements from 12.30 to 14.30
200,180620,C,CONTROL,-0.533,nothing,-1.717,measurements from 12.30 to 14.30
203,180620,C,CONTROL,-0.712,nothing,-1.887,measurements from 12.30 to 14.30
17,180517,A,DRY,-0.47,nothing,-1.66,nothing
34,180517,A,DRY,-0.583,nothing,-1.95,nothing
39,180517,A,DRY,-0.59,nothing,-0.8,nothing
43,180517,A,DRY,-0.42,nothing,-1.19,nothing
50,180517,A,DRY,-0.441,nothing,-1.86,nothing
104,180517,B,DRY,-0.278,nothing,-0.981,nothing
113,180517,B,DRY,-0.392,nothing,-0.1,nothing
125,180517,B,DRY,-1.1,nothing,-1.67,nothing
136,180517,B,DRY,-0.387,nothing,-1.39,nothing
139,180517,B,DRY,-0.89,nothing,-0.8,nothing
171,180517,C,DRY,-0.575,nothing,-1.52,nothing
175,180517,C,DRY,-0.327,nothing,-1.41,nothing
179,180517,C,DRY,-0.661,nothing,-1.41,nothing
193,180517,C,DRY,-0.382,nothing,-1.35,nothing
199,180517,C,DRY,-0.343,nothing,-1.44,nothing
13,180524,A,DRY,-0.624,nothing,-1.67,some leaves were kept in a sealed bag in the sun for a bit too long!
19,180524,A,DRY,-0.538,nothing,-1.925,some leaves were kept in a sealed bag in the sun for a bit too long!
22,180524,A,DRY,-0.583,nothing,-1.647,some leaves were kept in a sealed bag in the sun for a bit too long!
37,180524,A,DRY,-0.421,nothing,-1.324,some leaves were kept in a sealed bag in the sun for a bit too long!
42,180524,A,DRY,-0.486,nothing,-1.604,some leaves were kept in a sealed bag in the sun for a bit too long!
117,180524,B,DRY,-1.09,nothing,-2.052,some leaves were kept in a sealed bag in the sun for a bit too long!
118,180524,B,DRY,-1.136,nothing,-1.836,some leaves were kept in a sealed bag in the sun for a bit too long!
146,180524,B,DRY,-0.633,nothing,-2.236,some leaves were kept in a sealed bag in the sun for a bit too long!
148,180524,B,DRY,-0.52,nothing,-1.659,some leaves were kept in a sealed bag in the sun for a bit too long!
160,180524,B,DRY,-0.854,nothing,-1.822,some leaves were kept in a sealed bag in the sun for a bit too long!
163,180524,C,DRY,-0.912,nothing,-1.507,some leaves were kept in a sealed bag in the sun for a bit too long!
165,180524,C,DRY,-0.466,nothing,-1.761,some leaves were kept in a sealed bag in the sun for a bit too long!
170,180524,C,DRY,-0.339,nothing,-1.95,some leaves were kept in a sealed bag in the sun for a bit too long!
176,180524,C,DRY,-0.802,nothing,-1.678,some leaves were kept in a sealed bag in the sun for a bit too long!
209,180524,C,DRY,-0.836,nothing,-2.043,some leaves were kept in a sealed bag in the sun for a bit too long!
10,180531,A,DRY,-0.673,nothing,-1.76,nothing
16,180531,A,DRY,-0.76,nothing,-0.927,nothing
23,180531,A,DRY,-1.047,nothing,-1.935,nothing
27,180531,A,DRY,-0.457,nothing,-1.27,nothing
36,180531,A,DRY,-0.486,nothing,-1.322,nothing
103,180531,B,DRY,-0.632,nothing,-1.855,nothing
106,180531,B,DRY,-0.901,nothing,-1.529,nothing
134,180531,B,DRY,-0.581,nothing,-0.768,nothing
153,180531,B,DRY,-0.748,nothing,-1.4,nothing
158,180531,B,DRY,-0.531,nothing,-1.1997,nothing
183,180531,C,DRY,-0.623,nothing,-0.635,nothing
186,180531,C,DRY,-0.589,nothing,-1.607,nothing
210,180531,C,DRY,-0.392,nothing,-1.6,nothing
213,180531,C,DRY,-0.979,nothing,-1.639,nothing
219,180531,C,DRY,-0.388,nothing,-1.425,nothing
1,180613,A,DRY,-0.578,nothing,-0.815,nothing
14,180613,A,DRY,-0.69,nothing,-2.236,nothing
20,180613,A,DRY,-0.674,nothing,-1.249,nothing
44,180613,A,DRY,-3.17,nothing,-3.597,nothing
45,180613,A,DRY,-1.273,nothing,-2.037,nothing
111,180613,B,DRY,-4.206,nothing,-3.624,nothing
129,180613,B,DRY,-1.027,nothing,-2.034,nothing
